,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
0,,,,,,,16 rue Rabezavana Ambodifilao                         Antananrivo                          Madagascar,,ADVANCE TRADING,261-33-7824456,,,"Agriculture products,spiecs,Iron And Steel scrape,Used Batteries,Soft White Pine Wood,Raw Cashew,coffee,Red Beans,Black eye Beans,Green Mug,Lima Beans,Peanuts",http://www.business-yellowpages.com/details/651548/madagascar/ADVANCE-TRADING
1,,,,,,,Pobox 222                         Antananarivo                          Madagascar,,hatis,261-32-0408042,,,"Onion, Wood,",http://www.business-yellowpages.com/details/642547/madagascar/hatis
2,,,,,,,Ambahibe                         Moramanga                          Madagascar,,TAM sarl  -  terres   Agroforesterie du Mangoro,261-2056-90738,,,"Timber,Fruits   vegetables,Medicinal herbs,Other garicultural products,Material",http://www.business-yellowpages.com/details/634235/madagascar/TAM-sarl-terres-Agroforesterie-du-Mangoro
3,,,,,,,Pte. Rainisoa B. P. 416                         Mahajanga                          Madagascar,,Hermes Trading House,261-33-1470856,,,"custom clearence, Freight, Trade, Consulting Service",http://www.business-yellowpages.com/details/631897/madagascar/Hermes-Trading-House
4,,,,,,,ankhiri                         tamatave                          Madagascar,,F.M Trading   co eurl,261-34-8439925,,,"rice,beans,scrap,used cloths,wood,pulses,gold",http://www.business-yellowpages.com/details/630811/madagascar/F-M-Trading-co-eurl
5,,,,,,,"Lot AMP 451 Ankadivorimena, Ambatolampy,                         Ambohidratrimo                          Madagascar",,Fossils Minerals Handicrafts Oils Madagascar (fomhom),261-33-1207413,,,"Fossils,Ammonite,Celestite,Labradorite,Petrified Wood,Crystals,Rough Stones,Semi-Precious Gemstones,Minerals",http://www.business-yellowpages.com/details/590583/madagascar/Fossils-Minerals-Handicrafts-Oils-Madagascar-fomhom
6,,,,,,,ambohitrarahaba                         antananaraivo 103                          Madagascar,,THE ONE MADAGASIKARA,261-020-2629668,,,"AMMONITE,LABRADORITE,CELESTITE,PETRIFIED WOOD,GEMS STONES",http://www.business-yellowpages.com/details/589849/madagascar/THE-ONE-MADAGASIKARA
7,,,,,,,Lot III F 158 Antohomadinika centre                         Antananarivo                          Madagascar,,BOZART COMPANY,26134-03-10245,,,"wooden artcraft,handcraft,stele,decoration tools,wooden kitchen tools",http://www.business-yellowpages.com/details/564304/madagascar/BOZART-COMPANY
8,,,,,,,LOT II D 5 E MANJAKARAY                         ANTANANARIVO 101                          Madagascar,,Japan Actuel&#39;s,261-020-2249106,,,"Pine Wood,Scrap Metals,Scrap Batteries",http://www.business-yellowpages.com/details/486266/madagascar/Japan-Actuel-39-s
9,,,,,,,Antanetibe Antehiroka                         Tananarive                          Madagascar,,GASYKATSARA,261-3470-84387,,,"sea cucumber,rose woods,vanilla,letchis",http://www.business-yellowpages.com/details/417361/madagascar/GASYKATSARA
10,,,,,,,bp6A Andronodobona                         Sambava                          Madagascar,,THE PINK FOREST,261-261-320759211,,,"woods, spices, vanilla, ginger",http://www.business-yellowpages.com/details/398913/madagascar/THE-PINK-FOREST
11,,,,,,,Iim71 B Antsakaviro                         Antananarivo                          Madagascar,,Seco,261-2022-52743,,,"Trade Commodities Goods, Precious Stone Export, Wood Export,",http://www.business-yellowpages.com/details/393555/madagascar/Seco
12,,,,,,,214 Mangarano Toamasina                         Tamatave                          Madagascar,,KOSTA sarl,261-32-7850888,,,"Fine wood,Clove,Banilla,Beans",http://www.business-yellowpages.com/details/385589/madagascar/KOSTA-sarl
13,,,,,,,Toamasina                         Tamatave                          Madagascar,,Allspice Ltd,261-33-1530977,,,"CLOVES,BLACK PEPPER,SPICES,CINNAMON,SCRAP PAPER,PINE WOOD,SCRAP TYRE,SCRAP PLASTIC,ILMENITE,GRAPHITE,EDIBLE SALT,COPRA,COOKING OIL",http://www.business-yellowpages.com/details/384698/madagascar/Allspice-Ltd
14,,,,,,,BP 9067                         Antananarivo                          Madagascar,,Zinabiz Sarl,00261-32-4465281,,,"Spices,Seafood,Metal,Wood",http://www.business-yellowpages.com/details/383149/madagascar/Zinabiz-Sarl
