name,search_term,service,location,phone,email,website,latitude,longitude,rating
STTA,transportation,Transportation service,Antananarivo Madagascar,,,,,,
COTISSE TRANSPORT,transportation,Transportation service,IVM 12 TER AT Ambodivona Antananarivo 101 Madagascar,+261 32 11 027 10,,cotisse-transport.com,,,4.0
ATT (Agences des Transports Terrestres ),transportation,Department of Transportation,Route Moramanga 1947 Antananarivo 101 Madagascar,+261 20 26 213 44,,,,,
Auximad,transportation,Transportation service,Manakara Madagascar,,,,,,
Arrêt bus,transportation,Transportation service,Antananarivo Madagascar,,,,,,
COLIS EXPRESS ANKORONDRANO,transportation,Trucking company,Antananarivo Madagascar,+261 34 44 603 61,,,,,3.0
SEAL,transportation,Freight forwarding service,Toamasina Madagascar,,,,,,5.0
Western Taxi - Brousse Station,transportation,Transit station,Antananarivo Madagascar,,,,,,
Bolloré Transport & Logistics,transportation,Freight forwarding service,Ampasimazava Madagascar,,,,,,4.0
Northern Taxi - Brousse Station,transportation,Bus station,Antananarivo Madagascar,,,,,,3.7
Taxi- Brousse Station,transportation,Bus station,Ambositra Madagascar,,,,,,3.7
Arrêt Bus-CEG Antanimena,transportation,Bus stop,Rue Ampanjaka Toera Antananarivo Madagascar,,,,,,4.7
AUXIMAD,transportation,Freight forwarding service,Toamasina Madagascar,,,auximad.mg,,,5.0
terminus bac vers Ambila,transportation,Ferry terminal,ambila lemaitso Madagascar,,,,,,3.0
Riviere Imamba,transportation,River port,Unnamed Road Antananarivo Madagascar,,,,,,
Gare Routière Fisandratana Ambohimanambola,transportation,Bus company,ByPass Ambohimanambola Madagascar,,,,,,
GARAGE PROTO,transportation,Parking garage,Antananarivo Madagascar,,,,,,
CRO CORNMAD GLOBAL CARGO,transportation,Freight forwarding service,IB 731 Andoharanofotsy Antananarivo 102 Madagascar,+261 33 11 745 46,,business.site,,,
Air Austral,transportation,Aviation,2 Lalana Adrianary Ratianarivo Antananarivo Madagascar,+261 34 24 642 94,,air-austral.com,,,1.0
Taxi- Brousse Station,transportation,Transit station,Manakara Madagascar,,,,,,4.3
ITF Insolite Travel Fly,transportation,Airline,Antananarivo Madagascar,,,,,,
MAF Madagascar,transportation,Airline,Enceinte Avion Leger Antananarivo Madagascar,+261 20 24 524 57,,,,,4.7
Ravinala Airports,transportation,Airport,Ancienne Tour de Contrôle Aéroport Ivato Madagascar,+261 20 22 537 34,,ravinala-airports.aero,,,3.0
Ambatovy Airport,transportation,Airport,Madagascar,,,,,,
Tsaradia,transportation,Airline ticket agency,Terminal B Ivato Aéroport Antananarivo 101 Madagascar,+261 20 23 444 44,,tsaradia.com,,,5.0
FKPM Ankasina Maritiora,transportation,Church,Cité des 67Ha Centre 101 Madagascar,,,,,,4.3
Paositra Antanimena,transportation,Post office,Antananarivo Madagascar,+261 34 85 414 42,,,,,3.3
Weir Minerals,transportation,Engineering consultant,Immeuble Mining Business Center Rue Dr Raseta. Lot K7 105 Antananarivo Madagascar,+261 34 93 953 56,,global.weir,,,
Sumitomo corporation,transportation,Industrial design company,ivandry business center Antananarivo Madagascar,+261 20 22 494 05,,sumitomocorp.com,,,
BOA Mahazo,transportation,Bank,Antananarivo Madagascar,+261 20 22 315 38,,boa.mg,,,3.0
Batpro,construction,Road construction company,Antananarivo Madagascar,+261 20 22 224 69,,batpro-madagascar.com,,,3.7
Technibat Madagascar,construction,Road construction company,Lot FA IV 170 Andoharanofotsy Antananarivo 102 Madagascar,+261 32 07 223 76,,technibat-btp.mg,,,
entreprise RINA,construction,Construction company,44 Ambatondrazaka Madagascar,+261 34 40 736 45,,,,,
taovy construction btp,construction,Construction company,lot 03 266 d antananarivo avaradrano 103 Madagascar,+261 33 11 556 75,,,,,
SAMBA CONSTRUCTION,construction,Construction company,II V 127 Ampandrana Antananarivo 101 Madagascar,+261 34 38 872 79,,,,,
SARA & Cie,construction,Road construction company,Antananarivo Madagascar,+261 32 05 538 10,,,,,
ARTICOM,construction,Construction company,Antananarivo Madagascar,,,,,,
Entreprise Mandrindra et Co,construction,Construction company,101 Antananarivo 101 Madagascar,+261 34 03 909 80,,,,,
SIDEMA,construction,Metal construction company,Toamasina Madagascar,,,,,,
SODIAT,construction,Road construction company,Borosy Amborompotsy Talatamaty RN 4 Antananarivo 105 Madagascar,,,sodiatgroupe.com,,,
DJISTERA Construction,construction,Corporate office,Lalana Ralambo Emile Antananarivo Madagascar,+261 32 07 994 23,,,,,
Jose & Nadiane,construction,Home builder,Ranomafana Madagascar,+261 34 81 260 25,,,,,
Depaneur Moto Sc,construction,Garage builder,Dorodosy Antananarivo sud Madagascar,,,,,,
Vision Madagascar (ViMa),construction,Property management company,Explorer Business Park Antananarivo Madagascar,+261 20 22 338 31,,visionmadagascar.com,,,3.0
IMMEUBLE TSARAVINTANA,construction,Civil engineering company,Toamasina Madagascar,,,,,,
Artchic Madagascar,construction,Building firm,VR 57 Ter Mahazoarivo 101 Rue Razeroma Antananarivo Madagascar,+261 32 05 117 92,,,,,
MAD'STEEL,construction,Building materials store,LOT IVR 100 Antanimena Antananarivo 101 Madagascar,+261 34 11 623 11,,madalinks.net,,,
UBP Ambohimalaza,construction,Building materials supplier,Lot IQ UBP Ambohimalaza Miray BP 7143 103 Ambatofotsy Madagascar,+261 33 07 216 16,,ubpgroup.com,,,
Eam Consulting,construction,Civil engineering company,Lot III X 152 K Bis B Anosibe Antananarivo 101 Madagascar,+261 33 02 236 87,,eam-consulting.com,,,
Henri Fraise Fils & Cie,construction,Construction equipment supplier,Rue Ravoninahitriniarivo Antananarivo 45221 Madagascar,+261 20 22 227 21,,henrifraise.com,,,4.5
Dream'in,construction,Roofing contractor,Rue Massignon Antananarivo Madagascar,+261 20 22 265 71,,dreamin.tv,,,2.6
SECREN,construction,Corporate office,Lalana Kaleba Razafimino Antananarivo Madagascar,+261 20 22 270 77,,secren.mg,,,5.0
TAMA-ELEC Tamatave,construction,Electrical supply store,Toamasina Madagascar,+261 34 02 335 06,,bit.ly,,,
nyetodago,construction,Corporate office,Lot III i139 E Soanierana Rue Mahatanty Madagascar,+261 33 40 120 03,,nyetodago.com,,,4.5
"Groupe EDL, Everyday Life",construction,Corporate campus,Rue Dokotera Joseph Raseta Tananarive Madagascar Antananarivo 101 Madagascar,+261 20 23 209 47,,edl.mg,,,3.0
Habitat Madagascar,furniture,Furniture store,Enceinte Batistock Rue Dokotera Joseph Raseta Antananarivo 101 Madagascar,+261 20 23 301 91,,habitat.fr,,,4.3
Meubles Gautier Madagascar,furniture,Furniture store,Route des Hydrocarbures Enceinte Madecasse Antananarivo Madagascar,+261 32 05 018 72,,gautier.fr,,,5.0
Arts Malagasy,furniture,Furniture store,Ambatondrazaka Madagascar,+261 34 91 669 24,,,,,
ÉBÈNE Fabricant sur mesure,furniture,Furniture store,Rue Ravoninahitriniarivo MADAGASCAR Antananarivo 101 Madagascar,+261 34 02 110 90,,ebenesurmesure.com,,,5.0
Géant du Meuble,furniture,Furniture store,Pont bailey Antananarivo Madagascar,+261 20 22 571 73,,,,,3.7
Univers Meubles,furniture,Furniture store,Lot IVL 19 Anosivavaka 101 Madagascar,+261 34 60 077 04,,,,,
immeuble HAINGO,furniture,Furniture store,Antananarivo Madagascar,+261 34 91 389 82,,,,,
UNIPRI Menuiserie,furniture,Furniture store,RN 7 Antananarivo Madagascar,,,,,,
F. Bonnet & Ses Fils,furniture,Furniture store,42 Arabe Andrinampoinimerina Antananarivo 101 Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.7
Hôtel Plus,furniture,Furniture accessories,Immeuble Trade Tower Ivandry Antananarivo 101 Madagascar,+261 34 44 673 17,,business.site,,,
HOPPI DESIGN,furniture,Cabinet store,B 09 VICTORIA PLAZA ANTANIMENA Antananarivo 101 Madagascar,+261 20 22 550 95,,,,,
F. Bonnet & Ses Fils,furniture,Hardware store,Rue Ravoninahitriniarivo Antananarivo Madagascar,+261 20 22 203 26,,bonnet-fils.com,,,4.0
Bonmarche.mg,furniture,E-commerce service,Lot IVD 48 Behoririka Immeuble Hôtel Cristal Room 202 Antananarivo 101 Madagascar,+261 34 49 777 00,,bonmarche.mg,,,4.6
TRUST GROUP,furniture,Kitchen supply store,IBM 57 ISORAKA ANTANANARIVO 101 Madagascar,+261 34 46 272 33,,,,,
Qubeta Siege,furniture,Computer wholesaler,Lot IVX Ankazomanga Atsimo Andraharo en face Seige Star Antananarivo 101 Madagascar,+261 34 02 115 00,,,,,
aluminium treasure,furniture,Home goods store,Antananarivo Madagascar,+261 33 80 777 86,,,,,
SODIM,furniture,Office supply store,Antananarivo Madagascar,+261 20 23 301 63,,sodim.mg,,,4.1
Marco shop,furniture,Store,Antananarivo Madagascar,+261 34 52 455 55,,m.facebook.com,,,1.0
Shoprite Ampefiloha,furniture,Discount supermarket,Lalana Amiclar Cabral Joseph Antananarivo Madagascar,+261 20 22 288 56,,shoprite.co.za,,,3.8
Novashop.mg,furniture,Supermarket,Lot 143 bis Ambohijanahary Antehiroka Antananarivo 105 Madagascar,+261 33 83 222 58,,novashop.mg,,,
SERVICE PHOTOCOPIE S4F,office,Office furniture store,Antananarivo Madagascar,,,,,,
SODIM,office,Office supply store,Antananarivo Madagascar,+261 20 23 301 63,,sodim.mg,,,4.1
RedZone Ambanidia (Showroom Mobilier Bureau Sur Mesure),office,Office furniture store,Antananarivo Madagascar,,,,,,
